arm,update,n,accuracy,numeric_accuracy,n_unscored
base,0,128,0.3984375,0.3984375,0
judge,25,128,0.453125,0.453125,0
judge,50,128,0.4453125,0.515625,0
judge,75,128,0.5390625,0.546875,0
judge,100,128,0.6015625,0.609375,0
judge,125,128,0.5390625,0.5625,0
judge,150,128,0.578125,0.578125,0
judge,175,128,0.59375,0.609375,0
judge,200,128,0.6015625,0.6015625,0
judge,225,128,0.625,0.625,0
judge,250,128,0.59375,0.6015625,0
judge,275,128,0.609375,0.6328125,0
judge,300,128,0.5546875,0.5703125,0
judge,325,128,0.5390625,0.5546875,0
judge,350,128,0.5234375,0.546875,0
judge,375,128,0.5078125,0.53125,0
judge,400,128,0.5390625,0.5625,0
knn_static,25,128,0.390625,0.390625,0
knn_static,50,128,0.515625,0.515625,0
knn_static,75,128,0.5390625,0.5390625,0
knn_static,100,128,0.5625,0.5625,0
knn_static,125,128,0.6015625,0.6015625,0
knn_static,150,128,0.5703125,0.5703125,1
knn_static,175,128,0.59375,0.59375,0
knn_static,200,128,0.625,0.625,0
knn_static,225,128,0.5703125,0.5703125,0
knn_static,250,128,0.6171875,0.6171875,0
knn_static,275,128,0.5625,0.5625,0
knn_static,300,128,0.5859375,0.5859375,0
knn_static,325,128,0.59375,0.59375,0
knn_static,350,128,0.5703125,0.5703125,1
knn_static,375,128,0.5859375,0.5859375,0
knn_static,400,128,0.5859375,0.5859375,0
knn_static_30b,25,128,0.4609375,0.4609375,0
knn_static_30b,50,128,0.5390625,0.5390625,0
knn_static_30b,75,128,0.578125,0.578125,0
knn_static_30b,100,128,0.59375,0.59375,0
knn_static_30b,125,128,0.5546875,0.5546875,0
knn_static_30b,150,128,0.6015625,0.6015625,0
knn_static_30b,175,128,0.609375,0.6171875,0
knn_static_30b,200,128,0.625,0.625,0
knn_static_30b,225,128,0.625,0.625,0
knn_static_30b,250,128,0.5625,0.5625,0
knn_static_30b,275,128,0.5390625,0.5390625,0
knn_static_30b,300,128,0.546875,0.546875,0
knn_static_30b,325,128,0.5546875,0.5546875,0
knn_static_30b,350,128,0.5703125,0.5859375,0
knn_static_30b,375,128,0.4453125,0.5234375,0
knn_static_30b,400,128,0.5625,0.5625,0
proxy,25,128,0.375,0.375,0
proxy,50,128,0.3984375,0.3984375,0
proxy,75,128,0.3984375,0.3984375,0
proxy,100,128,0.3984375,0.3984375,0
proxy,125,128,0.3828125,0.3828125,0
proxy,150,128,0.359375,0.359375,0
proxy,175,128,0.375,0.375,0
proxy,200,128,0.421875,0.421875,0
proxy,225,128,0.3515625,0.3515625,0
proxy,250,128,0.375,0.375,0
proxy,275,128,0.3046875,0.3046875,0
proxy,300,128,0.3125,0.3125,0
proxy,325,128,0.3046875,0.3046875,0
proxy,350,128,0.265625,0.265625,0
proxy,375,128,0.28125,0.28125,0
proxy,400,128,0.25,0.25,0
