teacher,quantile,comparator,threshold,calibration_positive,n,positive,negative,positive_questions,negative_questions,auroc,ci95_low,ci95_high,valid_bootstraps,eligible,upper_tail
4B,0.05,>,-2.0350889584039638,238,256,237,19,128,19,0.5534088385520763,0.41150187304508856,0.6995919970343631,2000,False,False
4B,0.1,>,-1.0194906521835658,219,256,223,33,125,30,0.5006114961271912,0.3964723362479419,0.6113215297532522,2000,True,False
4B,0.15,>,-0.9204746423071835,171,256,181,75,107,54,0.7569797421731124,0.6816048816293073,0.8249071988486051,2000,True,False
4B,0.2,>,-0.9204746423071835,171,256,181,75,107,54,0.7569797421731124,0.6816048816293073,0.8249071988486051,2000,True,False
4B,0.25,>,-0.9204746423071835,171,256,181,75,107,54,0.7569797421731124,0.6816048816293073,0.8249071988486051,2000,True,False
4B,0.3,>,-0.9204746423071835,171,256,181,75,107,54,0.7569797421731124,0.6816048816293073,0.8249071988486051,2000,True,False
4B,0.35,>,-0.6149472101925116,157,256,172,84,103,59,0.7450166112956811,0.6732130901598239,0.8118028987586998,2000,True,False
4B,0.4,>,-0.3094197780778398,149,256,156,100,97,69,0.6781410256410256,0.5995333037214745,0.752831173910831,2000,True,False
4B,0.45,>,0.09512366391321436,108,256,108,148,82,102,0.6283158158158159,0.5544151986758098,0.7005080485552183,2000,True,True
4B,0.5,>,0.09512366391321436,108,256,108,148,82,102,0.6283158158158159,0.5544151986758098,0.7005080485552183,2000,True,True
4B,0.55,>,0.09512366391321436,108,256,108,148,82,102,0.6283158158158159,0.5544151986758098,0.7005080485552183,2000,True,True
4B,0.6,>,0.49966710590426855,80,256,86,170,71,113,0.6663474692202462,0.6012825953955496,0.7285358242134062,2000,True,True
4B,0.65,>,0.49966710590426855,80,256,86,170,71,113,0.6663474692202462,0.6012825953955496,0.7285358242134062,2000,True,True
4B,0.7,>,0.8051945380189404,62,256,67,189,57,118,0.6872778962331201,0.6229952067891834,0.7492404083395017,2000,True,True
4B,0.75,>,0.8051945380189404,62,256,67,189,57,118,0.6872778962331201,0.6229952067891834,0.7492404083395017,2000,True,True
4B,0.8,>,1.2097379800099946,20,256,27,229,26,127,0.7307132459970888,0.6624615882257804,0.7963940990521841,2000,True,True
4B,0.85,>,1.2097379800099946,20,256,27,229,26,127,0.7307132459970888,0.6624615882257804,0.7963940990521841,2000,True,True
4B,0.9,>,1.2097379800099946,20,256,27,229,26,127,0.7307132459970888,0.6624615882257804,0.7963940990521841,2000,True,True
4B,0.95,>,1.9198088541157206,0,256,0,256,0,128,,,,0,False,False
4B,0.95,>=,1.9198088541157206,20,256,27,229,26,127,0.7307132459970888,0.6624615882257804,0.7963940990521841,2000,True,True
4B,,>,-3.248719284377126,253,256,252,4,128,4,0.24206349206349206,0.03162055335968379,0.5098039215686274,1966,False,False
4B,,>,-2.844175842386072,252,256,251,5,128,5,0.2398406374501992,0.07480314960629922,0.4328199014963767,1986,False,False
4B,,>,-2.5386484102714,251,256,247,9,128,9,0.31668915879442194,0.18253794346423827,0.4713356441697513,2000,False,False
4B,,>,-2.134104968280346,247,256,245,11,128,11,0.33098330241187385,0.21232242190842962,0.45794448010269573,2000,False,False
4B,,>,-2.0350889584039638,238,256,237,19,128,19,0.5534088385520763,0.41150187304508856,0.6995919970343631,2000,False,False
4B,,>,-1.7295615262892918,235,256,236,20,128,20,0.5497881355932204,0.41750959643116503,0.6875417985681073,2000,True,False
4B,,>,-1.42403409417462,231,256,235,21,128,21,0.539209726443769,0.4098346125255813,0.6760849657316355,2000,True,False
4B,,>,-1.0194906521835658,219,256,223,33,125,30,0.5006114961271912,0.3964723362479419,0.6113215297532522,2000,True,False
4B,,>,-0.9204746423071835,171,256,181,75,107,54,0.7569797421731124,0.6816048816293073,0.8249071988486051,2000,True,False
