prompt_id,judge_delta,high_gap_delta,length_delta,completion_delta,refusal_diagnostic_delta,seed,comparison
kd_5cd61749928b2a949a904b2b,0.3642304636116229,-1.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_b6ac530b94d265ef1c3723e4,-0.3436841297668647,0.0,31.0,0.0,0.0,42,knn_minus_proxy
kd_7695c04e2f4aa27f34f0cfbd,0.42586946514589774,0.0,-25.0,0.0,0.0,42,knn_minus_proxy
kd_43c10c5c575cfcf3ad4c3f30,0.0971281236297663,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_219d26da3deb62df0b005308,-0.058837228737262215,0.0,-23.0,0.0,0.0,42,knn_minus_proxy
kd_9cfbac2012d7295b357b1d03,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_7573ba899293d7e36aef3786,-0.029885576501466504,0.0,-13.0,0.0,0.0,42,knn_minus_proxy
kd_d15ed33a910802adacc3fd24,-0.06163900153427462,0.0,116.0,0.0,0.0,42,knn_minus_proxy
kd_5e298ada43fdbcc88b5a60c1,-0.11954230600586624,0.0,-14.0,0.0,0.0,42,knn_minus_proxy
kd_2a46a75e1c18196fe730e2e7,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_e177f6055163fbfd4e20ac03,-0.5939758329666468,0.0,59.0,0.0,0.0,42,knn_minus_proxy
kd_1287f4d13e1295c95caccdee,-0.3137985532653984,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_6b8ac712eda8bbbac2f7903a,-0.35208944815790233,0.0,-7.0,0.0,0.0,42,knn_minus_proxy
kd_1d6af05820a9efb4f12963e8,-0.1459840367776713,0.0,45.0,0.0,0.0,42,knn_minus_proxy
kd_13efffb08aa3d0e439742776,-1.445714763258442,0.0,-12.0,0.0,0.0,42,knn_minus_proxy
kd_50c0d02613c6ca3ba4fe4df1,-0.7102494040426649,0.0,33.0,0.0,0.0,42,knn_minus_proxy
kd_25de202b286f85e95bad9ffc,0.052299758877566216,0.0,-23.0,0.0,0.0,42,knn_minus_proxy
kd_0f7a3f96892e9379826b6755,-0.05229975887756644,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_f15db617dcc4c8762ed2d589,0.15689927663269887,0.0,-60.0,1.0,0.0,42,knn_minus_proxy
kd_b110ddb367a0f8167a7dfa9c,0.0672425471282997,0.0,-9.0,0.0,0.0,42,knn_minus_proxy
kd_86697c70ae5e12f0c5b6aed4,-0.17184206488343223,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_add43391da210c3e1b157227,0.022414182376099878,0.0,2.0,0.0,0.0,42,knn_minus_proxy
kd_d1d640853132fc17ba37f815,0.4445479504593142,0.0,57.0,-1.0,0.0,42,knn_minus_proxy
kd_d26a1ccfdc5e29d184db77fe,-0.5267332858383471,0.0,7.0,0.0,1.0,42,knn_minus_proxy
kd_4a0b566c572101857260ba19,0.3408823569698522,0.0,-60.0,0.0,0.0,42,knn_minus_proxy
kd_192c5b80f8ba0cf00211b58c,-0.0466962132835414,0.0,-48.0,0.0,0.0,42,knn_minus_proxy
kd_3c7df3bbc64e416eacdc3b97,-0.12888154866257429,0.0,38.0,0.0,0.0,42,knn_minus_proxy
kd_67177a1d4a66e393ebb0d10f,-0.5977115300293301,0.0,-22.0,0.0,0.0,42,knn_minus_proxy
kd_03c8532d2fbb46edd80cb55a,-0.635068500656163,0.0,55.0,0.0,0.0,42,knn_minus_proxy
kd_c8255a1f881250bea9d24744,0.1200092681387013,0.0,-53.0,0.0,0.0,42,knn_minus_proxy
kd_82097ed0fcacd74298cc8d2d,0.4193319952862018,-1.0,-125.0,1.0,0.0,42,knn_minus_proxy
kd_0ecf6a0f2aa0bb19d4b754ab,-0.9339242656708282,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_ea0da14e287368179aecbe7d,0.011207091188049911,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_1630d917a79188d8c5435cce,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_b4ca5c72954c93f5fa907cf7,0.6275971065307966,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_b6e759e6f1d1cfa4f3866a0a,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_09a3e23137f3c535fd5ce71c,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_e12416d3adebadb26b22db83,-1.1095020276169438,0.0,-102.0,0.0,0.0,42,knn_minus_proxy
kd_79142af4a61394f005aed390,0.08965672950439951,0.0,-35.0,0.0,0.0,42,knn_minus_proxy
kd_8595082b4be2adbf36df2397,0.022414182376099934,0.0,41.0,0.0,0.0,42,knn_minus_proxy
kd_7b7ad7282c5dbdfd501944a2,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_2bb218d77d9786a30617fce9,-0.5304689829010304,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_86d096064ddcc9bcd47b348c,0.1793134590087988,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_f50a0d1e71d129f5c4f8dcba,-0.014942788250733141,0.0,-1.0,0.0,0.0,42,knn_minus_proxy
kd_0aceef94927d94d499ba1117,0.08031748684769124,0.0,14.0,0.0,0.0,42,knn_minus_proxy
kd_fc7db40650f051e1a7b3b25c,0.02953535490184,0.0,13.0,0.0,0.0,42,knn_minus_proxy
kd_4259334244c0e7a98a7a4467,0.0971281236297663,0.0,-30.0,0.0,0.0,42,knn_minus_proxy
kd_ab05f25840a0bdcb28d8c4b6,-0.26149879438783175,-1.0,-7.0,0.0,0.0,42,knn_minus_proxy
kd_2a0da9d2f1b7527e78849cd8,0.22974536935502377,0.0,-244.0,1.0,1.0,42,knn_minus_proxy
kd_289e471b468be0dd1cfc130b,0.478169224023464,0.0,-71.0,1.0,0.0,42,knn_minus_proxy
kd_6fbe8e49e73593b8e40b2985,0.4445479504593145,0.0,19.0,0.0,0.0,42,knn_minus_proxy
kd_ed869b316e0b90de53aa8a6a,0.1270137001312328,0.0,1.0,0.0,0.0,42,knn_minus_proxy
kd_64c8f1ef4af48e288af57579,-0.11207091188049922,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_752ab4534ea407f3576791de,-0.2222739752296572,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_eaa0a2b11f10c99e19680e57,0.13448509425659927,1.0,-26.0,0.0,0.0,42,knn_minus_proxy
kd_67adcc095cd9aa4d7b363e72,-0.3735697062683315,0.0,54.0,0.0,0.0,42,knn_minus_proxy
kd_aba477edf0e6dbe37affdf05,-0.22787752082368207,0.0,-98.0,0.0,0.0,42,knn_minus_proxy
kd_26e668bec024526b0d237184,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_8f3a7c444b919fefb1ad42f5,-0.4034552827697978,0.0,-140.0,1.0,0.0,42,knn_minus_proxy
kd_42cedabbc8044ad805908ff6,-0.011207091188049967,0.0,36.0,0.0,0.0,42,knn_minus_proxy
kd_9fbd59ca280e2f7c4c3a6796,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_cf3a39f7a30b2ea12c3e3ba4,-0.6444077433128714,0.0,-82.0,0.0,0.0,42,knn_minus_proxy
kd_e995a0867d374d01a5be11fd,-0.5229975887756637,0.0,-32.0,0.0,0.0,42,knn_minus_proxy
kd_8e8e9162242a8bab5b026832,0.2362828392147195,0.0,-40.0,0.0,0.0,42,knn_minus_proxy
kd_7fcdb2e651cb227d61f7128f,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_4625d016594b13610eaf3274,-0.9241180608812845,0.0,-85.0,0.0,1.0,42,knn_minus_proxy
kd_2d70579b7cf34ab8b881b000,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_4cf2ef59848e28715b0a597c,-0.25776309732514857,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_f857f68af9fbc270c5008dae,0.1782627942099193,0.0,-31.0,0.0,0.0,42,knn_minus_proxy
kd_e68b62838507b9b07e05da8d,0.4884423909458432,0.0,-29.0,0.0,0.0,42,knn_minus_proxy
kd_d823dc74da5e744a9c5211c1,0.12141015453720766,0.0,1.0,0.0,0.0,42,knn_minus_proxy
kd_e1433b2d913ab922c068ae75,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_6a87f8b62aaa939421669490,0.2316132178863654,0.0,-37.0,0.0,0.0,42,knn_minus_proxy
kd_9c0f35b5ee363766658fa9fe,0.5342046799637137,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_f5909a5db98cbcff855a9f3e,-0.05977115300293323,0.0,-6.0,0.0,0.0,42,knn_minus_proxy
kd_1a269e8a183e99f05159d878,0.5598875972696614,0.0,75.0,0.0,0.0,42,knn_minus_proxy
kd_051c247edfdb5485f2c1ab04,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_85c2fafd20b581654035d0f1,1.0109730175886715,0.0,-103.0,0.0,0.0,42,knn_minus_proxy
kd_7a000af99dd910c536d74f8f,-0.6500112889068963,-1.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_83172de6d67da8a1fa3e7927,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_367e035e5c26e544a66bb970,0.5496144303472823,0.0,-190.0,1.0,1.0,42,knn_minus_proxy
kd_95e2d25d4657888961b58b46,-0.24655600613709872,0.0,5.0,0.0,0.0,42,knn_minus_proxy
kd_763925f81f998cbd44083bd0,0.0037356970626832853,0.0,-19.0,0.0,0.0,42,knn_minus_proxy
kd_badba8e96cf959cefcaf1f1e,1.0534665716766942,0.0,-222.0,0.0,1.0,42,knn_minus_proxy
kd_1e83dcea3dec4ec644646014,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_6186761abcaaedbf9bb574f1,-0.16810636782074917,0.0,-10.0,0.0,0.0,42,knn_minus_proxy
kd_2488e674ed614fbed37f6015,0.1790799779423813,0.0,-9.0,0.0,0.0,42,knn_minus_proxy
kd_6544e5e4d9f5d0ed92b2020c,0.2390846120117327,0.0,-167.0,1.0,0.0,42,knn_minus_proxy
kd_29eeb12d74e5ef3f01667ceb,0.2540274002624652,0.0,28.0,0.0,0.0,42,knn_minus_proxy
kd_f559118ba8bef09810af916e,0.6948396536590962,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_14a51154c0b60f1506c64150,-0.38477679745638116,0.0,-16.0,0.0,0.0,42,knn_minus_proxy
kd_ebd5112eb8df2c99d6daca41,0.01867848531341651,0.0,-30.0,0.0,0.0,42,knn_minus_proxy
kd_c12d4113db3ed7ef546595d8,0.0317534250328082,0.0,15.0,0.0,0.0,42,knn_minus_proxy
kd_42f66aa9b511a4450e6db56d,1.3840757617241675,0.0,-12.0,0.0,1.0,42,knn_minus_proxy
kd_a71863453c9b8aebebf9abf6,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_0c8a28ad95050087db9ccbd7,0.16437067075806588,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_9bf706330f1dbb43cb189bcf,-0.571561650590547,0.0,40.0,0.0,0.0,42,knn_minus_proxy
kd_ffd971ab3dc06e3ac3df4d6a,-0.5229975887756637,0.0,-2.0,0.0,0.0,42,knn_minus_proxy
kd_1ca76deb0e06433a778b7e84,0.061639001534274596,0.0,41.0,0.0,0.0,42,knn_minus_proxy
kd_aa055010781c1e019ef3d80a,-0.14569218544464924,0.0,14.0,0.0,0.0,42,knn_minus_proxy
kd_84822e7c0fb605ca1ffa73c7,-0.5379403770263971,0.0,123.0,-1.0,0.0,42,knn_minus_proxy
kd_6fc8b1070b637d9af5702a73,0.23114625575352998,0.0,-11.0,0.0,0.0,42,knn_minus_proxy
kd_fb946893662533a221acd495,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_0c1fcda6e46b9f5d6097ee6a,0.11954230600586602,0.0,-12.0,0.0,0.0,42,knn_minus_proxy
kd_20acd2db15e21078427bf826,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_24f6ff0687bf1363d989a142,-0.32500564445344815,0.0,-94.0,1.0,1.0,42,knn_minus_proxy
kd_e4381a69329bd6264953a1da,-0.6705576227516545,0.0,171.0,-1.0,0.0,42,knn_minus_proxy
kd_0fa072b020347c84d0f9f9e0,-0.5360725284950553,0.0,109.0,0.0,0.0,42,knn_minus_proxy
kd_a7fe3db4d8084a3554050976,-0.6967075021904379,0.0,93.0,-1.0,0.0,42,knn_minus_proxy
kd_226475783237b2de05959e8a,-0.3978517371757728,0.0,-11.0,0.0,0.0,42,knn_minus_proxy
kd_82f951245b1dda7314a68294,0.1965910579237092,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_748ec285b3988b22a6fd8374,0.26523449145051514,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_78df0e4099ba4e84c9b38c3a,0.5239315130413347,0.0,-15.0,0.0,0.0,42,knn_minus_proxy
kd_802ac4885cac8723e268820d,-0.5127244218532847,0.0,95.0,0.0,0.0,42,knn_minus_proxy
kd_a7fd594adb76fe9a5852764f,0.04436140261936429,1.0,50.0,0.0,0.0,42,knn_minus_proxy
kd_b122bfb7fe8ede08e8bb415d,0.0,0.0,16.0,-1.0,0.0,42,knn_minus_proxy
kd_2bcd91836cecc2ec105b5a7a,0.05696938020592049,0.0,56.0,0.0,0.0,42,knn_minus_proxy
kd_325988d77939660a8e9793eb,-0.4109266768951644,0.0,5.0,0.0,0.0,42,knn_minus_proxy
kd_15b91891c359cc93c4d5dc07,0.11207091188049934,0.0,0.0,0.0,1.0,42,knn_minus_proxy
kd_e7deeb908b4c9779cc1f250e,0.032687349298478996,0.0,3.0,0.0,0.0,42,knn_minus_proxy
kd_2ec551d0ea262c092b9b06e8,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_b6d470cdf01032207a171faa,0.23908461201173212,0.0,-3.0,0.0,0.0,42,knn_minus_proxy
kd_e9b30d3fb2b21648b8f15b1f,-0.16810636782074906,0.0,94.0,-1.0,0.0,42,knn_minus_proxy
kd_a6f5907b87ebeed9667a8ef7,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_7c35bcee3a72947238d26ec9,0.44454795045931417,0.0,-75.0,0.0,0.0,42,knn_minus_proxy
kd_9663dc0445544f3d9b6421f6,-0.2437542333400862,0.0,-11.0,0.0,0.0,42,knn_minus_proxy
kd_a9452342ddea3892ab46345c,-0.16063497369538238,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_3017401732c33f9490fb79bd,-1.507353764792717,0.0,-36.0,0.0,0.0,42,knn_minus_proxy
kd_1a2a8f2ad67f8bdc6147bf3a,-0.0037356970626832853,0.0,-9.0,0.0,0.0,42,knn_minus_proxy
kd_40ac11f63f31a7501a637338,-0.1953652823250163,0.0,19.0,0.0,0.0,42,knn_minus_proxy
kd_75d8ff20f11e75b72e068de6,0.0,0.0,0.0,0.0,0.0,42,knn_minus_proxy
kd_b3da0a72d89e29d87b1acf56,-0.0037356970626832853,0.0,76.0,0.0,0.0,42,knn_minus_proxy
kd_c27de7b13324d1108ef1172e,-0.4856406181488307,0.0,-36.0,0.0,0.0,42,knn_minus_proxy
